date_time,period,destination_place,frequency,province,revenue,age_bin,sex,no_of_trips,trip_kms
2023-09-07,6,work/study,frequent,Murcia,<10,25-45,,5.476,16.578
2023-09-05,6,house,not_frequent,Badajoz,<10,45-65,woman,3.51,5.303
2023-09-05,6,work/study,house,Barcelona,>15,,,5.774,9.434
2023-09-02,11,house,not_frequent,Illes Balears,10-15,65-100,woman,16.809,15.332
2023-09-04,21,frequent,house,Barcelona,10-15,45-65,,11.105,37.262
2023-09-06,0,work/study,house,Asturias,>15,45-65,man,6.582,7.239
2023-09-01,8,house,work/study,Madrid,10-15,25-45,woman,10.592,14.452
2023-09-06,12,work/study,frequent,Barcelona,>15,45-65,woman,4.044,81.697
2023-09-02,19,frequent,frequent,Cádiz,<10,45-65,man,7.692,6.963
2023-09-02,8,frequent,house,Sevilla,10-15,25-45,man,31.821,41.783
2023-09-05,19,not_frequent,frequent,Valladolid,10-15,25-45,woman,2.8,26.479
2023-09-01,21,work/study,frequent,Almería,<10,65-100,man,3.325,5.814
2023-09-07,11,not_frequent,not_frequent,Granada,<10,45-65,,1.148,51.528
2023-09-07,8,house,frequent,Bizkaia,>15,25-45,,2.562,6.45
2023-09-01,3,not_frequent,house,Illes Balears,10-15,,,3.25,19.28
2023-09-01,8,house,work/study,Asturias,10-15,0-25,,6.176,7.715
2023-09-01,6,frequent,house,Granada,<10,,,4.313,17.104
2023-09-06,19,work/study,house,Alicante/Alacant,10-15,45-65,woman,10.575,39.891
2023-09-01,14,frequent,frequent,Gipuzkoa,10-15,65-100,woman,5.319,46.506
2023-09-07,15,house,work/study,Guadalajara,10-15,45-65,woman,13.797,47.135
2023-09-02,13,not_frequent,house,Castellón/Castelló,10-15,25-45,,7.199,53.703
2023-09-07,19,work/study,house,Granada,<10,65-100,,1.696,2.948
2023-09-05,18,frequent,not_frequent,León,10-15,25-45,,4.248,14.292
2023-09-02,10,house,frequent,Girona,10-15,,,4.429,32.924
2023-09-04,20,not_frequent,house,Madrid,10-15,,,2.836,23.31
2023-09-03,1,frequent,frequent,Valladolid,>15,,,1.636,2.507
2023-09-01,6,frequent,not_frequent,Murcia,10-15,25-45,woman,6.431,118.785
2023-09-03,3,not_frequent,frequent,Málaga,10-15,45-65,man,3.066,26.434
2023-09-02,11,not_frequent,work/study,Granada,10-15,45-65,man,3.979,117.088
2023-09-07,22,house,frequent,Santa Cruz de Tenerife,>15,65-100,,15.808,11.202
2023-09-02,0,not_frequent,not_frequent,Málaga,10-15,65-100,,3.258,2.192
2023-09-05,13,not_frequent,not_frequent,Cádiz,<10,25-45,woman,3.92,148.651
2023-09-02,12,frequent,house,Barcelona,10-15,45-65,woman,7.596,13.528
2023-09-07,22,frequent,not_frequent,Barcelona,>15,25-45,,3.024,24.583
2023-09-01,7,house,frequent,Murcia,<10,45-65,,4.064,255.564
2023-09-05,19,house,frequent,Illes Balears,10-15,65-100,,2.172,28.13
2023-09-06,7,house,frequent,Valencia/València,10-15,65-100,man,3.42,6.113
2023-09-04,6,house,frequent,Alicante/Alacant,10-15,65-100,man,5.144,13.838
2023-09-04,11,frequent,house,Ceuta,>15,25-45,woman,23.072,21.9
2023-09-01,22,house,not_frequent,Las Palmas,10-15,45-65,man,3.676,76.822
2023-09-06,21,frequent,house,Araba/Álava,10-15,0-25,man,35.875,96.367
2023-09-04,10,not_frequent,house,Sevilla,10-15,45-65,man,19.566,29.626
2023-09-02,0,not_frequent,not_frequent,Valencia/València,10-15,45-65,man,2.737,34.909
2023-09-06,20,not_frequent,house,Huelva,10-15,45-65,woman,4.821,11.923
2023-09-03,10,frequent,frequent,Ceuta,10-15,45-65,,4.088,16.091
2023-09-07,19,not_frequent,house,La Rioja,10-15,0-25,,6.904,831.13
2023-09-03,17,not_frequent,house,Araba/Álava,>15,25-45,man,5.637,1650.433
2023-09-01,13,not_frequent,frequent,Las Palmas,10-15,45-65,man,4.527,35.938
2023-09-01,19,frequent,house,Madrid,10-15,45-65,man,43.548,147.783
2023-09-05,7,not_frequent,frequent,Cantabria,10-15,,,2.455,7.219
2023-09-06,7,house,frequent,Toledo,10-15,65-100,,10.015,34.609
2023-09-01,19,frequent,not_frequent,Madrid,>15,25-45,woman,6.339,300.806
2023-09-06,9,not_frequent,frequent,Barcelona,10-15,0-25,man,6.781,76.887
2023-09-07,7,frequent,work/study,Cádiz,10-15,65-100,man,4.541,100.401
2023-09-06,21,house,not_frequent,Castellón/Castelló,10-15,,,3.867,27.841
2023-09-04,20,frequent,frequent,Bizkaia,>15,,,4.164,33.653
2023-09-06,7,house,work/study,Asturias,10-15,,,4.593,5.451
2023-09-04,19,house,frequent,Madrid,10-15,45-65,man,6.312,16.578
2023-09-01,23,work/study,house,Navarra,10-15,,,8.052,8.431
2023-09-01,21,not_frequent,not_frequent,Málaga,<10,45-65,woman,3.968,3.212
2023-09-01,19,not_frequent,frequent,Barcelona,10-15,0-25,woman,9.385,10.961
2023-09-04,12,frequent,frequent,Ávila,10-15,45-65,woman,9.568,21.139
2023-09-07,8,not_frequent,not_frequent,Valladolid,10-15,45-65,man,2.299,2.906
2023-09-07,6,frequent,house,Lleida,>15,25-45,,3.611,35.988
2023-09-05,19,work/study,house,Gipuzkoa,10-15,0-25,man,6.728,111.889
2023-09-03,14,house,not_frequent,Murcia,<10,65-100,,3.761,1113.524
2023-09-07,19,frequent,house,A Coruña,10-15,65-100,man,3.851,25.202
2023-09-06,19,work/study,house,Barcelona,<10,45-65,woman,21.078,70.022
2023-09-02,15,house,frequent,Murcia,10-15,45-65,woman,52.74,66.583
2023-09-07,0,not_frequent,house,Córdoba,10-15,65-100,,6.0,147.949
2023-09-07,0,frequent,house,Valencia/València,10-15,0-25,man,8.034,30.369
2023-09-06,1,frequent,house,Barcelona,10-15,45-65,man,2.363,12.657
2023-09-03,18,not_frequent,work/study,Barcelona,>15,45-65,woman,3.203,24.791
2023-09-04,2,frequent,frequent,Cantabria,10-15,,,3.338,2.981
2023-09-03,17,frequent,frequent,Cáceres,10-15,,,4.215,5.641
2023-09-05,7,house,frequent,Barcelona,10-15,0-25,,9.213,54.645
2023-09-07,13,work/study,house,Murcia,<10,0-25,,14.597,195.178
2023-09-01,14,frequent,work/study,Huesca,10-15,0-25,woman,11.555,40.331
2023-09-07,10,not_frequent,frequent,Toledo,<10,45-65,man,2.982,4.707
2023-09-02,21,house,not_frequent,Valencia/València,10-15,0-25,woman,11.029,75.303
2023-09-04,22,not_frequent,house,Araba/Álava,10-15,65-100,man,7.78,12.404
2023-09-01,9,house,frequent,Ourense,10-15,,,2.903,49.37
2023-09-02,4,frequent,work/study,Girona,>15,,,7.455,22.318
2023-09-01,23,work/study,not_frequent,Tarragona,10-15,45-65,,3.252,4.588
2023-09-07,16,frequent,frequent,Barcelona,>15,45-65,man,2.836,6.89
2023-09-06,5,house,frequent,Barcelona,10-15,25-45,man,3.542,214.22
2023-09-02,0,house,frequent,Teruel,>15,25-45,man,27.681,124.19
2023-09-07,14,frequent,frequent,Barcelona,10-15,45-65,woman,2.813,183.139
2023-09-01,19,work/study,not_frequent,Las Palmas,<10,25-45,man,4.441,6966.101
2023-09-07,8,house,frequent,Cádiz,<10,45-65,man,25.542,79.737
2023-09-06,11,house,frequent,Barcelona,10-15,65-100,,12.048,62.432
2023-09-04,11,house,work/study,Madrid,>15,25-45,man,3.774,45.419
2023-09-03,10,house,frequent,Pontevedra,10-15,25-45,woman,33.348,105.884
2023-09-04,20,house,not_frequent,Sevilla,10-15,45-65,woman,3.124,7.22
2023-09-05,17,frequent,house,Santa Cruz de Tenerife,<10,0-25,woman,23.157,315.806
2023-09-03,15,house,not_frequent,Barcelona,10-15,45-65,woman,7.026,20.463
2023-09-04,13,frequent,frequent,Castellón/Castelló,10-15,,,2.501,4.069
2023-09-06,0,frequent,house,Madrid,10-15,25-45,,5.122,143.377
2023-09-06,11,house,frequent,Castellón/Castelló,10-15,0-25,woman,14.961,161.259
